Name,Full Name,Owner,License,Description,Language,Stars,Forks,Open Issues,Created At,Updated At,GitHub URL
machine-learning,ethen8181/machine-learning,ethen8181,MIT,:earth_americas: machine learning tutorials (mainly in Python3) ,HTML,3495,675,6,2015-07-24 03:35:49+00:00,2026-08-14 23:24:00+00:00,https://github.com/ethen8181/machine-learning
machine_learning_complete,Nyandwi/machine_learning_complete,Nyandwi,MIT,"A comprehensive machine learning repository containing 30+ notebooks on different concepts, algorithms and techniques.",Jupyter Notebook,5034,836,2,2021-09-25 11:02:35+00:00,2026-08-16 11:47:19+00:00,https://github.com/Nyandwi/machine_learning_complete
MachineLearningNotes,tsyw/MachineLearningNotes,tsyw,Unknown,My personal notes,Unknown,1807,439,1,2020-02-10 02:56:44+00:00,2026-08-15 10:35:17+00:00,https://github.com/tsyw/MachineLearningNotes
machine_learning_basics,zotroneneis/machine_learning_basics,zotroneneis,MIT,Plain python implementations of basic machine learning algorithms,Jupyter Notebook,4417,834,0,2018-02-19 09:55:58+00:00,2026-08-12 18:36:38+00:00,https://github.com/zotroneneis/machine_learning_basics
Learn_Machine_Learning_in_3_Months,llSourcell/Learn_Machine_Learning_in_3_Months,llSourcell,Unknown,"This is the code for ""Learn Machine Learning in 3 Months"" by Siraj Raval on Youtube ",Unknown,7607,2310,19,2018-03-02 10:59:53+00:00,2026-08-16 03:59:02+00:00,https://github.com/llSourcell/Learn_Machine_Learning_in_3_Months
awesome-machine-learning-cn,jobbole/awesome-machine-learning-cn,jobbole,Unknown,机器学习资源大全中文版，包括机器学习领域的框架、库以及软件,Unknown,4483,1246,4,2015-11-03 11:22:38+00:00,2026-08-17 05:36:31+00:00,https://github.com/jobbole/awesome-machine-learning-cn
start-machine-learning,louisfb01/start-machine-learning,louisfb01,MIT,"A complete guide to start and improve in machine learning (ML), artificial intelligence (AI) in 2026 without ANY background in the field and stay up-to-date with the latest news and state-of-the-art techniques!",Unknown,5294,700,4,2020-09-24 11:48:46+00:00,2026-08-17 20:26:49+00:00,https://github.com/louisfb01/start-machine-learning
Data-Analysis-and-Machine-Learning-Projects,rhiever/Data-Analysis-and-Machine-Learning-Projects,rhiever,Unknown,"Repository of teaching materials, code, and data for my data analysis and machine learning projects.",Jupyter Notebook,6743,2103,14,2015-02-12 23:03:58+00:00,2026-08-18 06:40:56+00:00,https://github.com/rhiever/Data-Analysis-and-Machine-Learning-Projects
machine-learning-articles,christianversloot/machine-learning-articles,christianversloot,Unknown,"🧠💬 Articles I wrote about machine learning, archived from MachineCurve.com.",Unknown,3695,761,0,2022-02-15 18:12:31+00:00,2026-08-16 15:56:27+00:00,https://github.com/christianversloot/machine-learning-articles
Machine-Learning-Notes,Sophia-11/Machine-Learning-Notes,Sophia-11,Unknown,周志华《机器学习》手推笔记,Unknown,3780,744,3,2019-09-20 05:06:57+00:00,2026-08-18 07:15:48+00:00,https://github.com/Sophia-11/Machine-Learning-Notes
machine_learning_beginner,fengdu78/machine_learning_beginner,fengdu78,Unknown,机器学习初学者公众号作品,Jupyter Notebook,2354,913,0,2019-01-09 08:15:12+00:00,2026-08-18 08:53:11+00:00,https://github.com/fengdu78/machine_learning_beginner
python-machine-learning-book-2nd-edition,rasbt/python-machine-learning-book-2nd-edition,rasbt,MIT,"The ""Python Machine Learning (2nd edition)"" book code repository and info resource",Jupyter Notebook,7201,2791,32,2017-02-09 05:45:15+00:00,2026-08-18 09:22:15+00:00,https://github.com/rasbt/python-machine-learning-book-2nd-edition
practical-machine-learning-with-python,dipanjanS/practical-machine-learning-with-python,dipanjanS,Apache-2.0,Master the essential skills needed to recognize and solve complex real-world problems with Machine Learning and Deep Learning by leveraging the highly popular Python Machine Learning Eco-system.,Jupyter Notebook,2383,1652,21,2017-07-29 10:31:36+00:00,2026-08-18 07:16:03+00:00,https://github.com/dipanjanS/practical-machine-learning-with-python
tvm,apache/tvm,apache,Apache-2.0,Open Machine Learning Compiler Framework,Python,13669,3957,243,2016-10-12 22:20:28+00:00,2026-08-18 04:53:35+00:00,https://github.com/apache/tvm
machine-learning-refined,neonwatty/machine-learning-refined,neonwatty,NOASSERTION,"Master the fundamentals of machine learning, deep learning, and mathematical optimization by building key concepts and models from scratch using Python.",Python,2257,704,0,2016-08-12 14:13:30+00:00,2026-08-18 11:27:09+00:00,https://github.com/neonwatty/machine-learning-refined
awesome-quantum-machine-learning,krishnakumarsekar/awesome-quantum-machine-learning,krishnakumarsekar,CC0-1.0,"Here you can get all the Quantum Machine learning Basics, Algorithms ,Study Materials ,Projects and the descriptions of the projects around the web",HTML,3642,806,9,2017-04-26 11:03:50+00:00,2026-08-18 09:51:20+00:00,https://github.com/krishnakumarsekar/awesome-quantum-machine-learning
machine-learning-engineering-for-production-public,https-deeplearning-ai/machine-learning-engineering-for-production-public,https-deeplearning-ai,Apache-2.0,Public repo for DeepLearning.AI MLEP Specialization,Jupyter Notebook,1972,2332,20,2020-11-17 01:43:57+00:00,2026-08-13 07:18:51+00:00,https://github.com/https-deeplearning-ai/machine-learning-engineering-for-production-public
machine_learning_security,13o-bbr-bbq/machine_learning_security,13o-bbr-bbq,Unknown,Source code about machine learning and security.,Python,2088,676,112,2017-05-01 20:33:43+00:00,2026-08-16 12:44:39+00:00,https://github.com/13o-bbr-bbq/machine_learning_security
Machine-Learning-homework,Ayatans/Machine-Learning-homework,Ayatans,Unknown,Matlab Coding homework for Machine Learning,MATLAB,2033,656,0,2020-04-18 09:22:44+00:00,2026-08-17 03:21:25+00:00,https://github.com/Ayatans/Machine-Learning-homework
python-machine-learning-book-3rd-edition,rasbt/python-machine-learning-book-3rd-edition,rasbt,MIT,"The ""Python Machine Learning (3rd edition)"" book code repository",Jupyter Notebook,5046,2060,26,2019-06-07 04:19:59+00:00,2026-08-17 01:47:54+00:00,https://github.com/rasbt/python-machine-learning-book-3rd-edition
MachineLearning_Zhouzhihua_ProblemSets,hanmq/MachineLearning_Zhouzhihua_ProblemSets,hanmq,Unknown,"Exercises answers to the book ""machine-learning"" written by Zhou Zhihua。周志华《机器学习》课后习题，个人解答。各算法都拿numpy和pandas实现了一遍",Python,1679,435,11,2018-09-03 06:35:59+00:00,2026-08-17 01:39:09+00:00,https://github.com/hanmq/MachineLearning_Zhouzhihua_ProblemSets
machine-learning,jbagnato/machine-learning,jbagnato,GPL-3.0,"Código Python, Jupyter Notebooks, archivos csv con ejemplos para los ejercicios del Blog aprendemachinelearning.com y del libro Aprende Machine Learning en Español",Jupyter Notebook,572,729,7,2017-11-27 23:03:32+00:00,2026-08-15 20:56:10+00:00,https://github.com/jbagnato/machine-learning
ivy,unifyai/ivy,unifyai,NOASSERTION,Convert Machine Learning Code Between Frameworks,Python,14170,5465,985,2021-01-19 08:37:25+00:00,2026-08-18 02:31:48+00:00,https://github.com/unifyai/ivy
Machine-Learning-in-90-days,krishnaik06/Machine-Learning-in-90-days,krishnaik06,GPL-3.0,No description,Jupyter Notebook,1409,1594,11,2019-09-23 17:17:35+00:00,2026-08-11 11:56:41+00:00,https://github.com/krishnaik06/Machine-Learning-in-90-days
awesome-machine-learning-interpretability,jphall663/awesome-machine-learning-interpretability,jphall663,CC0-1.0,A curated list of awesome responsible machine learning resources.,Unknown,4058,629,27,2018-06-21 14:26:51+00:00,2026-08-17 08:38:04+00:00,https://github.com/jphall663/awesome-machine-learning-interpretability
kubeflow,kubeflow/kubeflow,kubeflow,Apache-2.0,Machine Learning Toolkit for Kubernetes,Unknown,15819,2689,0,2017-11-30 18:44:19+00:00,2026-08-18 08:00:59+00:00,https://github.com/kubeflow/kubeflow
